town,population
Addison,1357
Albany,932
Alburgh,2004
Andover,471
Arlington,2297
Athens,438
Averill,24
Avery's Gore,0
Bakersfield,1342
Baltimore,247
Barnard,939
Barnet,1696
Barre,16900
Barton,2753
Belvidere,354
Bennington,15555
Benson,1049
Berkshire,1710
Berlin,2871
Bethel,2020
Bloomfield,219
Bolton,1188
Bradford,2782
Braintree,1236
Brandon,3919
Brattleboro,11848
Bridgewater,933
Bridport,1215
Brighton,1204
Bristol,3875
Brookfield,1295
Brookline,526
Brownington,979
Brunswick,113
Buel's Gore,30
Burke,1744
Burlington,42282
Cabot,1452
Calais,1601
Cambridge,3726
Canaan,954
Castleton,4665
Cavendish,1363
Charleston,1014
Charlotte,3812
Chelsea,1241
Chester,3116
Chittenden,1241
Clarendon,2543
Colchester,17245
Concord,1221
Corinth,1370
Cornwall,1174
Coventry,1077
Craftsbury,1195
Danby,1300
Danville,2197
Derby,4562
Dorset,2008
Dover,1113
Dummerston,1840
Duxbury,1336
East Haven,287
East Montpelier,2602
Eden,1345
Elmore,871
Enosburg,2770
Essex,20057
Fair Haven,2693
Fairfax,4398
Fairfield,1920
Fairlee,980
Fayston,1358
Ferdinand,32
Ferrisburgh,2757
Fletcher,1295
Franklin,1417
Georgia,4602
Glastenbury,8
Glover,1113
Goshen,163
Grafton,674
Granby,87
Grand Isle,2069
Granville,297
Greensboro,754
Groton,1020
Guildhall,260
Guilford,2104
Halifax,725
Hancock,322
Hardwick,2968
Hartford,9838
Hartland,3385
Highgate,3568
Hinesburg,4457
Holland,624
Hubbardton,698
Huntington,1969
Hyde Park,3037
Ira,429
Irasburg,1153
Isle La Motte,473
Jamaica,1027
Jay,539
Jericho,5028
Johnson,3495
Killington,802
Kirby,490
Landgrove,159
Leicester,1109
Lemington,102
Lewis,0
Lincoln,1266
Londonderry,1762
Lowell,871
Ludlow,1945
Lunenburg,1287
Lyndon,5969
Maidstone,206
Manchester,4339
Marlboro,1069
Marshfield,1567
Mendon,1051
Middlebury,8477
Middlesex,1756
Middletown Springs,741
Milton,10526
Monkton,2015
Montgomery,1197
Montpelier,7787
Moretown,1666
Morgan,746
Morristown,5335
Mount Holly,1229
Mount Tabor,254
New Haven,1747
Newark,581
Newbury,2212
Newfane,1697
Newport,6281
North Hero,803
Northfield,6185
Norton,165
Norwich,3393
Orange,1075
Orwell,1245
Panton,670
Pawlet,1459
Peacham,726
Peru,371
Pittsfield,543
Pittsford,2943
Plainfield,1257
Plymouth,615
Pomfret,898
Poultney,3387
Pownal,3490
Proctor,1705
Putney,2700
Randolph,4762
Reading,659
Readsboro,751
Richford,2322
Richmond,4093
Ripton,582
Rochester,1126
Rockingham,5190
Roxbury,693
Royalton,2771
Rupert,706
Rutland,20257
Ryegate,1164
Salisbury,1128
Sandgate,403
Searsburg,108
Shaftsbury,3554
Sharon,1497
Sheffield,700
Shelburne,7449
Sheldon,2207
Shoreham,1268
Shrewsbury,1044
Somerset,3
South Burlington,18400
South Hero,1634
Springfield,9284
St. Albans,13030
St. George,680
St. Johnsbury,7591
Stamford,818
Stannard,220
Starksboro,1769
Stockbridge,733
Stowe,4390
Strafford,1102
Stratton,213
Sudbury,553
Sunderland,950
Sutton,1030
Swanton,6436
Thetford,2600
Tinmouth,619
Topsham,1174
Townshend,1223
Troy,1642
Tunbridge,1288
Underhill,3044
Vergennes,2584
Vernon,2192
Vershire,723
Victory,61
Waitsfield,1726
Walden,932
Wallingford,2055
Waltham,478
Wardsboro,890
Warner's Grant,0
Warren,1704
Warren's Gore,4
Washington,1031
Waterbury,5102
Waterford,1285
Waterville,685
Weathersfield,2810
Wells,1144
West Fairlee,659
West Haven,263
West Rutland,2283
West Windsor,1095
Westfield,527
Westford,2043
Westminster,3132
Westmore,347
Weston,563
Weybridge,827
Wheelock,808
Whiting,420
Whitingham,1350
Williamstown,3394
Williston,8962
Wilmington,1853
Windham,416
Windsor,3498
Winhall,762
Winooski,7239
Wolcott,1720
Woodbury,901
Woodford,418
Woodstock,3012
Worcester,1001
